date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:13:29	24/24	U-----	200	untouched ('OK')	text/plain	etag:%221f0b98e-18-5234e41bed540%22	http://webable.digital/robots.txt		(from )
15:13:31	49064/49064	U--M-Z	200	updated ('OK')	text/html	date:Sat,%2019%20May%202018%2009:13:38%20GMT	http://webable.digital/	C:/My%20Web%20Sites/Webable%20clone/webable.digital/index.html	(from )
15:13:33	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2019%20May%202018%2009:13:40%20GMT	http://webable.digital/%e2%80%9dhttp://webable.digital/%e2%80%9d	C:/My%20Web%20Sites/Webable%20clone/webable.digital/%e2%80%9dhttp_/webable.digital/%e2%80%9d	(from http://webable.digital/)
15:13:34	18061/18061	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2019%20May%202018%2009:13:42%20GMT	http://webable.digital/%e2%80%9dhttp:/webable.digital/%e2%80%9d	C:/My%20Web%20Sites/Webable%20clone/webable.digital/%e2%80%9dhttp_/webable.digital/%e2%80%9d	(from http://webable.digital/)
15:13:37	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sat,%2019%20May%202018%2009:13:43%20GMT	http://webable.digital/%e2%80%9c//js.hs-scripts.com/504002.js%e2%80%9d	C:/My%20Web%20Sites/Webable%20clone/webable.digital/%e2%80%9c/js.hs-scripts.com/504002.js%e2%80%9d	(from http://webable.digital/)
15:13:37	95931/95931	U-----	200	untouched ('')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	C:/My%20Web%20Sites/Webable%20clone/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from http://webable.digital/)
15:13:37	23739/23739	U-----	200	untouched ('OK')	text/css	etag:%221518903977%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	C:/My%20Web%20Sites/Webable%20clone/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	(from http://webable.digital/)
15:13:38	39794/39794	U--M-Z	200	updated ('OK')	application/x-javascript	date:Sat,%2019%20May%202018%2009:13:46%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/Webable%20clone/connect.facebook.net/en_US/fbevents.js	(from http://webable.digital/)
15:13:39	18061/18061	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2019%20May%202018%2009:13:46%20GMT	http://webable.digital/%e2%80%9c/js.hs-scripts.com/504002.js%e2%80%9d	C:/My%20Web%20Sites/Webable%20clone/webable.digital/%e2%80%9c/js.hs-scripts.com/504002.js%e2%80%9d	(from http://webable.digital/)
15:13:41	318/318	U-----	200	untouched ('')	image/vnd.microsoft.icon	etag:%22ddbe88d-13e-54aaee088b647%22	http://webable.digital/wp-content/themes/webable/assets/images/favicon.ico	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/themes/webable/assets/images/favicon.ico	(from http://webable.digital/)
15:13:41	51351/51351	U-----	200	untouched ('')	application/javascript	etag:W/%225a962f20-c897%22	https://cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.3/modernizr.js	C:/My%20Web%20Sites/Webable%20clone/cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.3/modernizr.js	(from http://webable.digital/)
15:13:41	35175/35175	U-----	200	untouched ('')	text/javascript	date:Thu,%2012%20Apr%202018%2018:13:11%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Webable%20clone/www.google-analytics.com/analytics.js	(from http://webable.digital/)
15:13:41	1913/1913	U-----	200	untouched ('OK')	text/css	etag:%22c3c19b4-779-54bd84bbcc670%22	http://webable.digital/wp-content/plugins/livicons-evolution/assets/css/LivIconsEvo.WP.css?ver=2.4.375	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/livicons-evolution/assets/css/LivIconsEvo.WPa7f2.css	(from http://webable.digital/)
15:13:42	111696/111696	U-----	200	untouched ('OK')	text/css	etag:%22dcc52ad-1b450-54f7912e9879b%22	http://webable.digital/wp-content/plugins/formcraft3/assets/css/form.min.css?ver=3.2.26	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/formcraft3/assets/css/form.min2c74.css	(from http://webable.digital/)
15:13:42	29789/29789	U-----	200	untouched ('OK')	text/css	etag:%2236448f0-745d-54d5e8b8f1452%22	http://webable.digital/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.2	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/css/settings7661.css	(from http://webable.digital/)
15:13:42	8278/8278	U-----	200	untouched ('OK')	text/css	etag:%22ddbee93-2056-54aaee0cc91e8%22	http://webable.digital/wp-content/themes/webable/assets/css/home.css?ver=4.7.10	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/themes/webable/assets/css/homed714.css	(from http://webable.digital/)
15:13:42	97184/97184	U-----	200	untouched ('')	application/javascript	etag:%22143791e-17ba0-5337eac0d4540%22	http://webable.digital/wp-includes/js/jquery/jquery.js?ver=1.12.4	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-includes/js/jquery/jqueryb8ff.js	(from http://webable.digital/)
15:13:42	10056/10056	U-----	200	untouched ('')	application/javascript	etag:%221437910-2748-5333ff613c400%22	http://webable.digital/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://webable.digital/)
15:13:43	19166/19166	U-----	200	untouched ('')	application/javascript	etag:%22e213b56-4ade-54f4b86517550%22	http://webable.digital/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend.js?ver=6.1.8	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontendfe13.js	(from http://webable.digital/)
15:13:43	18061/18061	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2019%20May%202018%2009:13:50%20GMT	http://webable.digital/linkid.js	C:/My%20Web%20Sites/Webable%20clone/webable.digital/linkid.html	(from http://webable.digital/)
15:13:43	63850/63850	U-----	200	untouched ('')	application/javascript	etag:%2236448cd-f96a-54d5e8b8cdef9%22	http://webable.digital/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.4.2	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min7661.js	(from http://webable.digital/)
15:13:44	8866/8866	U-----	200	untouched ('')	application/javascript	etag:%2236448c9-22a2-54d5e8b8cac73%22	http://webable.digital/wp-content/plugins/revslider/public/assets/js/extensions/revolution.extension.actions.min.js?ver=5.4.2	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/js/extensions/revolution.extension.actions.min7661.js	(from http://webable.digital/)
15:13:44	7607/7607	U-----	200	untouched ('')	application/javascript	etag:%2236448a9-1db7-54d5e8b8aff05%22	http://webable.digital/wp-content/plugins/revslider/public/assets/js/extensions/revolution.extension.carousel.min.js?ver=5.4.2	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/js/extensions/revolution.extension.carousel.min7661.js	(from http://webable.digital/)
15:13:44	110563/110563	U-----	200	untouched ('')	application/javascript	etag:%2236448cf-1afe3-54d5e8b8cf8b8%22	http://webable.digital/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.4.2	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min7661.js	(from http://webable.digital/)
15:13:44	3702/3702	U-----	200	untouched ('')	application/javascript	etag:%2236448cb-e76-54d5e8b8cc5af%22	http://webable.digital/wp-content/plugins/revslider/public/assets/js/extensions/revolution.extension.kenburn.min.js?ver=5.4.2	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/js/extensions/revolution.extension.kenburn.min7661.js	(from http://webable.digital/)
15:13:45	55235/55235	U-----	200	untouched ('')	application/javascript	etag:%2236448c8-d7c3-54d5e8b8c9d7e%22	http://webable.digital/wp-content/plugins/revslider/public/assets/js/extensions/revolution.extension.layeranimation.min.js?ver=5.4.2	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/js/extensions/revolution.extension.layeranimation.min7661.js	(from http://webable.digital/)
15:13:45	26101/26101	U-----	200	untouched ('')	application/javascript	etag:%2236448c7-65f5-54d5e8b8c8fa5%22	http://webable.digital/wp-content/plugins/revslider/public/assets/js/extensions/revolution.extension.migration.min.js?ver=5.4.2	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/js/extensions/revolution.extension.migration.min7661.js	(from http://webable.digital/)
15:13:45	26158/26158	U-----	200	untouched ('')	application/javascript	etag:%2236448ab-662e-54d5e8b8b13af%22	http://webable.digital/wp-content/plugins/revslider/public/assets/js/extensions/revolution.extension.navigation.min.js?ver=5.4.2	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/js/extensions/revolution.extension.navigation.min7661.js	(from http://webable.digital/)
15:13:46	10867/10867	U-----	200	untouched ('')	application/javascript	etag:%2236448a8-2a73-54d5e8b8aeab7%22	http://webable.digital/wp-content/plugins/revslider/public/assets/js/extensions/revolution.extension.parallax.min.js?ver=5.4.2	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/js/extensions/revolution.extension.parallax.min7661.js	(from http://webable.digital/)
15:13:46	28285/28285	U-----	200	untouched ('')	application/javascript	etag:%2236448ca-6e7d-54d5e8b8cb924%22	http://webable.digital/wp-content/plugins/revslider/public/assets/js/extensions/revolution.extension.slideanims.min.js?ver=5.4.2	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/js/extensions/revolution.extension.slideanims.min7661.js	(from http://webable.digital/)
15:13:46	23912/23912	U-----	200	untouched ('')	application/javascript	etag:%2236448a6-5d68-54d5e8b8ac3c9%22	http://webable.digital/wp-content/plugins/revslider/public/assets/js/extensions/revolution.extension.video.min.js?ver=5.4.2	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/plugins/revslider/public/assets/js/extensions/revolution.extension.video.min7661.js	(from http://webable.digital/)
15:13:47	6611/6611	U-----	200	untouched ('')	application/javascript	etag:%2224b3002-19d3-54d05d6f08bc9%22	http://webable.digital/wp-content/themes/webable/assets/js/scripts.js?ver=1.0	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/themes/webable/assets/js/scripts5152.js	(from http://webable.digital/)
15:13:47	24457/24457	U-----	200	untouched ('')	application/javascript	etag:%222a2fb4e-5f89-54aaee1d43495%22	http://webable.digital/wp-content/themes/webable/assets/js/jquery.smoothState.js?ver=1.0	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/themes/webable/assets/js/jquery.smoothState5152.js	(from http://webable.digital/)
15:13:47	758/758	U-----	200	untouched ('')	application/javascript	etag:%222a2fb20-2f6-54aaee1d18157%22	http://webable.digital/wp-content/themes/webable/assets/js/smoothfunctions.js?ver=1.0	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/themes/webable/assets/js/smoothfunctions5152.js	(from http://webable.digital/)
15:13:48	1237/1237	U-----	200	untouched ('')	application/javascript	etag:W/%225a962d1d-4d5%22	http://cdnjs.cloudflare.com/ajax/libs/jquery.waitforimages/1.5.0/jquery.waitforimages.min.js?ver=1.0	C:/My%20Web%20Sites/Webable%20clone/cdnjs.cloudflare.com/ajax/libs/jquery.waitforimages/1.5.0/jquery.waitforimages.min5152.js	(from http://webable.digital/)
15:13:48	14073/14073	U-----	200	untouched ('')	application/javascript	etag:%222a2fb2d-36f9-54aaee1d2c075%22	http://webable.digital/wp-content/themes/webable/assets/js/typed.js?ver=4.7.10	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/themes/webable/assets/js/typedd714.js	(from http://webable.digital/)
15:13:48	15242/15242	U-----	200	untouched ('')	application/javascript	etag:%222a2fb59-3b8a-54aaee1d49391%22	http://webable.digital/wp-content/themes/webable/assets/js/wow.js?ver=1.0	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/themes/webable/assets/js/wow5152.js	(from http://webable.digital/)
15:13:49	13980/13980	U-----	200	untouched ('')	application/javascript	etag:%222a2fb55-369c-54aaee1d463a3%22	http://webable.digital/wp-content/themes/webable/assets/js/foundation/foundation.topbar.js?ver=1.0	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-content/themes/webable/assets/js/foundation/foundation.topbar5152.js	(from http://webable.digital/)
15:13:51	1045/1045	U-----	200	untouched ('')	application/xml	etag:%221437d3d-415-4ed4785da9bc0%22	http://webable.digital/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-includes/wlwmanifest.xml	(from http://webable.digital/)
15:13:53	2348/2348	U--MC-	200	updated ('OK')	application/json	date:Sat,%2019%20May%202018%2009:13:59%20GMT	http://webable.digital/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwebable.digital%2F	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-json/oembed/1.0/embedc3b6.json	(from http://webable.digital/)
15:13:53	2447/2447	U--MC-	200	updated ('OK')	text/xml	date:Sat,%2019%20May%202018%2009:14:00%20GMT	http://webable.digital/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwebable.digital%2F&format=xml	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-json/oembed/1.0/embed226f	(from http://webable.digital/)
15:13:54	824/824	U--MC-	200	updated ('OK')	text/xml	date:Sat,%2019%20May%202018%2009:13:58%20GMT	http://webable.digital/xmlrpc.php?rsd	C:/My%20Web%20Sites/Webable%20clone/webable.digital/xmlrpc0db0.php	(from http://webable.digital/)
15:13:54	72627/72627	U--MC-	200	updated ('OK')	application/json	date:Sat,%2019%20May%202018%2009:13:57%20GMT	http://webable.digital/wp-json/	C:/My%20Web%20Sites/Webable%20clone/webable.digital/wp-json/index.html	(from http://webable.digital/)
